_natured (forming compound adjs)	adj	စိတ် သဘော​ထား​ရှိ​သော။ good -natuerd.
_nosed	(forming c	..​သော နှာ​ခေါင်း ။
-'s	suff	ကပိုင်​ဆိုင်​သူ​ဧ​ကဝုစ်​ဖြစ်​ကြောင်း​ပြ​နောက်​ဆက်။ ခတစ်​စုံ​တစ်​ခု​သော​အိမ်၊​ဆိုင်​စသည်​သက်​ဆိုင်​မှု​ပြ​နောက်​ဆက်။ နှင့်​အဆုံး​မသတ်​သော​ဗဟု​ဝုစ်​နာမ်​များ​တွင်​ပိုင်​ဆိုင်​မှု၊​သက်​ဆိုင်​မှု​ကို​ပြ​နောက်​ဆက်။ ရံ​ဖန်​ရံ​ခါ​တွင်​ဗဟု​ဝုစ်​ကိန်း​သို့​နာမ်​ဖန်​တီး​ရန်​ထည့်​သည့်​နောက်​ဆက်။ အစား​အတို​ကောက်။ နှင့်​ကို​ကိုယ်​စား​ပြု​သည့်​နောက်​ဆက်။
-ana	suff	(ရှေ့​ဖော်​ပြ​ပါ ပု​ဂ္ဂိုလ်၊ ဒေ​သ စသည်​တို့​နှင့် တစု တပေါင်း​တည်း ဖြစ်​သော အရာ​ဝတ္ထု၊ ပစ္စည်း​ကို ပြ​သော နောက်​ဆက်​စကား)။
-ance	suff	(ကြိ​ယာ​ကို နာမ်​ပုဒ်​ပြောင်း​ပေး​သော နောက်​ဆက်)။ … ခြင်း၊ … မှု စသည်။
-cidal	coidmb	သတ်​မှု​နှင့် ဆိုင်​သော။
-cide	coidmb	သတ်​ဖြတ်​ခြင်း၊ သတ်​မှု။ သတ်​သည့်​သူ။ သတ်​သည့်​အရာ။ သတ်​ဆေး။
-cracy	coidmb	အစိုး​ရ။​အုပ်​ချုပ်​ရေး။
-crat	coidmb	စနစ်၊ အစိုး​ရကို ထောက်​ခံ သူ။
-en	suff	(နာမ်​ကို နာ​မဝ​သေ​သန​ပုဒ်​အဖြစ် ဖန်​တီး ပေး​သော နောက်​ဆက်)။ ဖြင့်​လုပ်​သော။ ဖြစ်​သော။ (နာ​မဝ​သေ​သန​ကို ကြိ​ယာ​ပုဒ်​အဖြစ် ဖန်​တီး ပေး​သော နောက်​ဆက်)။ လုပ်​သည်။ ဖြစ်​စေ​သည်။
-ence	suff	(ကြိ​ယာ​ကို နာမ်​ပုဒ်​ပြောင်း​ပေး​သော နောက်​ဆက်)။ … ခြင်း၊ … မှု စသည်။
-esque	suff	ဟန်​ရှိ​သော။ ပုံ ပေါက်​သော။
-ess	suff	(​ဣ​တ္ထိ​လိင်​ပြ​နောက်​ဆက်)။ မ။
-est	suff	အသာ​လွန်​ဆုံး နာ​မဝ​သေ​သန​ပြ နောက်​ဆက်)။ ဆုံး။
-ette	suff	အငယ်​လေး။ အသေး​လေး။ (ပစ္စည်း) အတု။ အမျိုး​သမီး။
-ian	suff	(တစ်​ဦး​ဆိုင်​နာမ်​များ​နှင့် ပေါင်း​စပ်​ခြင်း​ဖြင့် ns နှင့် adjs  သို့ ပြောင်း​ပေး​သည့် နောက်​ဆက်​စကား)။ (-ics အဆုံး​ရှိ​သော နာမ်​များ​နှင့် ပေါင်း​စပ်​ခြင်း​ဖြင့် ns သို့ ပြောင်း​ပေး​သည့် နောက်​ဆက်​စကား)။
-iana	suff	(ရှေ့​ဖော်​ပြ​ပါ ပု​ဂ္ဂိုလ်၊ ဒေ​သ စသည်​တို့​နှင့် တစု တပေါင်း​တည်း ဖြစ်​သော အရာ​ဝတ္ထု၊ ပစ္စည်း​ကို ပြ​သော နောက်​ဆက်​စကား)။
-iatrics	coidmb	(ဆေး​ပညာ​တစ်​ခု​ခု​နှင့် သက်​ဆိုင် ကြောင်း​ပြ​သည့် နောက်​ဆက်​စကား)။
-iatry	coidmb	ဆေး​ကု​သမှု​နည်း​တစ်​ခု​ခု​နှင့်​သက်​ဆိုင်​ကြောင်း ပြ​သည့် နောက်​ဆက်​စကား)။
-ic	suff	( ns ကို adjs နှင့်  ns  သို့ ပြောင်း​ပေး​သည့် နောက်​ဆက်​စကား)။ တစ်​စုံ​တစ်​ခု​နှင့် သက်​ဆိုင်​သော၊ ဆန်​သော၊ ရှိ​သော၊ ဖြစ်​သော) ။ ( y အဆုံး ရှိ​သော vs  ကို adjs သို့ ပြောင်း​ပေး​သည့် နောက်​ဆက်​စကား)။ ဂုဏ်​သတ္တိ တစ်​စုံ​တစ်​ရာ ရှိ​သော။
-ical	suff	ကောင်း​သော။
-ically	suff	…​ဆန်​ဆန်။
-ics	suff	(နာမ်​ပြု​ပစ္စည်း)။
-ide	suff	(chemistry) (နာမ်​ပြု​ပစ္စည်း)။ ဓာတ်​တစ်​မျိုး​မျိုး​၏ ဓာတ်​ပေါင်း အမည်။
-length	adj	(forming compound adjs) … ရှည်​လျား​သော။ …​အထိ​ရှည်​သော။
-lessly	adv	ကင်း​မဲ့​လျက်။
-limbed	n	ခြေ​ဆံ လက်​ဆံ (ရှည်​သော၊ ပျော့​ပျောင်း​သော​စသည်)။
-ly	suff	(နာ​မဝ​သေ​သန​မှ ကြိ​ယာ​ဝသေ​သန​သို့ ပြောင်း​ရာ​တွင် နောက်​ဆက်)။ (နာမ်​မှ နာ​မဝ​သေ​န သို့ ပြောင်း​ရာ​တွင်​နောက်​ဆက်)။ (နာမ်​မှ နာ​မဝ​သေ​သန​နှင့် ကြိ​ယာ​ဝသေ​သန​သို့ ပြောင်း​ရာ​တွင် နောက်​ဆက်)။
-man	coidmb	…​သား။ …​သမား၊​စောင့်၊​မှူး​စသည်။
-manaic	coidmb	စိတ်​ရော​ဂါ​တစ်​မျိုး​မျိုး​ခံ​စား​နေ​ရသူ​ကို​ရည်​ညွှန်း​သော​စကား။
-mania	coidmb	စိတ်​ရော​ဂါ​တစ်​မျိုး​မျိုး​ကို​ရည်​ညွှန်း​သော​စကား။
-ness	suff	(နာမ်​ပြောင်း​နောက်​ဆက်)။ ခြင်း။ မှု။
-s'	suff	ပိုင်​ဆိုင်​သူ​ဗဟု​ဝုစ်​ဖြစ်​ကြောင်း​ပြ​နောက်​ဆက်။ ပိုင်​ဆိုင်​မှု​ကို​ပြ​သော​နောက်​ဆက်။
(all) by myself	idm	တစ်​ကိုယ်​တည်း။ ကိုယ့်​ဘာ​သာ​ကိုယ်။
(as) mad as a hatter/a March hare	idm	သွက်​သွက်​လည်​အောင်​ရူး​သော။
(as) nutty as a fruit cake	IDM	(ဗန်း ) ပေါက်​သလား​မမေး​နဲ့ ။
(as)good as new	idm	အသစ်​တမျှ​ကောင်း​သော။ 
(be, look, etc) green/ pale about the gills	idm	ကြောက်​ရွံ့​၍​သို့​ဖျား​နာ​၍​မျက်​နှာ​ဖြူ​ဖပ်​ဖြူ​ရော်​ဖြစ်​သည်။
(be) all ears	idm	(infml) သိပ်​ကြား​သိ​ချင်​သည်။ နား​စွင့်​ထား​သည်။
(be) in nmood for (doing) sth/ tdsth	idm	ဆန္ဒမ​ရှိ။ စိတ်​မပါ။
(be) in the mood for (doing) sth/ tdsth	idm	ဆန္ဒရှိ​သည်။
(be) made for sb/each other	idm	ရှေ့​သွား​နောက်​လိုက်​ညီ​သည်။ လိုက်​ဖက်​သည်။
(be) one's own master/mistress	idm	အနှောင်​အတည်း​ကင်း​လွတ်​မှု။ လွတ်​လပ်​မှု။
(be) out on one's ear	idm	ဆွဲ​ထုတ်​သည်။ အတင်း​ထွက် စေ​သည်။
(be/feel) at (one's) ease	idm	အေး​အေး​သက်​သာ။ ငြိမ်း​ငြိမ်း​ချမ်း​ချမ်း။
(on) easy street	idm	(US) ဖြောင့်​ဖြူး​သာ​ယာ​သော ဘဝ။
(put sth) in a nutshell	IDM	တို​တို​ပြော​ရလျှင်။
(right) under sb's(very)nose	IDM	မျက်​စအောက်​မှာ ။ မျက်​စအောက်​မှာ ဗြောင်​ကျ​ကျ ။
(stand) at ease	idm	(စစ်​သား​များ) သက်​သာ အနေ အထား (ရပ်​သည်)။
A	art	ပထ​မ အင်္ဂလိပ်​အက္ခရာ
a back-seat driver	idm	ယာဉ်​မောင်း နား​ကပ်​၍​ဆရာ​လုပ်​နေ​သူ။
a bad lot	idm	လူ​ဆိုး​လူ​တေ။
a bag/ bundle of nerves	idm	တုန်​လှုပ်​ချောက်​ချား​ခြင်း။ ဒူး​တုန်​ခြင်း။
a bald head	n	ထိပ်​ပြောင်။
a baptism of fire	idm	စ​၌ အိုး​နင်း​ခွက်​နင်း ဖြစ်​ခြင်း၊ အခက်​အခဲ​ကြုံ​ခြင်း။
a barber-shop quartet.	adj	အတီး​မပါ အမျိုး​သား​လေး​ယောက်​တွဲ​အဆို။
a barrage of gunfire	n	တရ​စပ်​စု​ပြုံ​ပစ်​ခတ်​ခြင်း။
a barren fruit	n	ဖို​သော​အပင်။
a barren woman	n	မြုံ​သော​မိန်း​မ။
a big cheese	idm	အလွန်​အရေး​ပါ​သော `​ပုတ်​ကိုယ်​ကြီး´။ အကောင်။
a big fish	idm	နေ​ရာ​ကွက်​ကွက် ကလေး​မှာ ဩ​ဇာ​ရှိ​သူ။
a big name	idm	အရေး​ပါ သော​ပု​ဂ္ဂိုလ်။ ကြီး​ကြီး​မာ​စတာ။
a big noise	idm	အရေး​ပါ သော​ပု​ဂ္ဂိုလ်။ ကြီး​ကြီး​မာ​စတာ။
a big shot	idm	အရေး​ပါ သော​ပု​ဂ္ဂိုလ်။ ကြီး​ကြီး​မာ​စတာ။
a can of worms	idm	ပြ​ဿ​နာ ဖန်​တီး​သည်။ ပျား​တူ​အုံ တုတ်​နှင့်​ထိုး​သည်။
a change of heart	idm	အကောင်း​ဘက်​သို့) စိတ်​သဘော ထား​ပြောင်း​လဲ​မှု။
a clean sheet/slate	idm	ဘဝ​သစ်။ ကဏ္ဍသစ်။
a close call/shave	idm	သီ​သီ​ကလေး လွတ်​ခြင်း။
a closed book	idm	နကန်း​တစ်​လုံး​မျှ မသ​သော ဘာ​သာ​ရပ်။
a cordial smile handshake.cordiality	n	အချို​ရည်။ အဖျော်​ရည်။
