_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
_nosed	(forming c\n..ေသာ ႏွာေခါင္း ။
-'s	suff\nကပိုင္ဆိုင္သူဧကဝုစ္ျဖစ္ေၾကာင္းျပေနာက္ဆက္။ ခတစ္စံုတစ္ခုေသာအိမ္၊ဆိုင္စသည္သက္ဆိုင္မႈျပေနာက္ဆက္။ ႏွင့္အဆံုးမသတ္ေသာဗဟုဝုစ္နာမ္မ်ားတြင္ပိုင္ဆိုင္မႈ၊သက္ဆိုင္မႈကိုျပေနာက္ဆက္။ ရံဖန္ရံခါတြင္ဗဟုဝုစ္ကိန္းသို႔နာမ္ဖန္တီးရန္ထည့္သည့္ေနာက္ဆက္။ အစားအတိုေကာက္။ ႏွင္္႔ကိုကိုယ္စားျပဳသည့္ေနာက္ဆက္။
-ana	suff\n(ေရွ႕ေဖာ္ျပပါ ပုဂၢိဳလ္၊ ေဒသ စသည္တို႔ႏွင့္ တစု တေပါင္းတည္း ျဖစ္ေသာ အရာဝတၳဳ၊ ပစၥည္းကို ျပေသာ ေနာက္ဆက္စကား)။
-ance	suff\n(ၾကိယာကို နာမ္ပုဒ္ေျပာင္းေပးေသာ ေနာက္ဆက္)။ … ျခင္း၊ … မႈ စသည္။
-cidal	coidmb\nသတ္မႈႏွင့္ ဆိုင္ေသာ။
-cide	coidmb\nသတ္ျဖတ္ျခင္း၊ သတ္မႈ။ သတ္သည့္သူ။ သတ္သည့္အရာ။ သတ္ေဆး။
-cracy	coidmb\nအစိုးရ။အုပ္ခ်ဳပ္ေရး။
-crat	coidmb\nစနစ္၊ အစိုးရကို ေထာက္ခံ သူ။
-en	suff\n(နာမ္ကို နာမဝေသသနပုဒ္အျဖစ္ ဖန္တီး ေပးေသာ ေနာက္ဆက္)။ ျဖင့္လုပ္ေသာ။ ျဖစ္ေသာ။ (နာမဝေသသနကို ၾကိယာပုဒ္အျဖစ္ ဖန္တီး ေပးေသာ ေနာက္ဆက္)။ လုပ္သည္။ ျဖစ္ေစသည္။
-ence	suff\n(ၾကိယာကို နာမ္ပုဒ္ေျပာင္းေပးေသာ ေနာက္ဆက္)။ … ျခင္း၊ … မႈ စသည္။
-esque	suff\nဟန္ရိွေသာ။ ပံု ေပါက္ေသာ။
-ess	suff\n(ဣတၳိလိင္ျပေနာက္ဆက္)။ မ။
-est	suff\nအသာလြန္ဆံုး နာမဝေသသနျပ ေနာက္ဆက္)။ ဆံုး။
-ette	suff\nအငယ္ေလး။ အေသးေလး။ (ပစၥည္း) အတု။ အမ်ိဳးသမီး။
-ian	suff\n(တစ္ဦးဆိုင္နာမ္မ်ားႏွင့္ ေပါင္းစပ္ျခင္းျဖင့္ ns ႏွင့္ adjs  သို႔ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား)။ (-ics အဆံုးရိွေသာ နာမ္မ်ားႏွင့္ ေပါင္းစပ္ျခင္းျဖင့္ ns သို႔ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား)။
-iana	suff\n(ေရွ႕ေဖာ္ျပပါ ပုဂၢိဳလ္၊ ေဒသ စသည္တို႔ႏွင့္ တစု တေပါင္းတည္း ျဖစ္ေသာ အရာဝတၳဳ၊ ပစၥည္းကို ျပေသာ ေနာက္ဆက္စကား)။
-iatrics	coidmb\n(ေဆးပညာတစ္ခုခုႏွင့္ သက္ဆိုင္ ေၾကာင္းျပသည့္ ေနာက္ဆက္စကား)။
-iatry	coidmb\nေဆးကုသမႈနည္းတစ္ခုခုႏွင့္သက္ဆိုင္ေၾကာင္း ျပသည့္ ေနာက္ဆက္စကား)။
-ic	suff\n( ns ကို adjs ႏွင့္  ns  သို႔ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား)။ တစ္စံုတစ္ခုႏွင့္ သက္ဆိုင္ေသာ၊ ဆန္ေသာ၊ ရိွေသာ၊ ျဖစ္ေသာ) ။ ( y အဆံုး ရိွေသာ vs  ကို adjs သို႔ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား)။ ဂုဏ္သတၱိ တစ္စံုတစ္ရာ ရိွေသာ။
-ical	suff\nေကာင္းေသာ။
-ically	suff\n…ဆန္ဆန္။
-ics	suff\n(နာမ္ျပဳပစၥည္း)။
-ide	suff\n(chemistry) (နာမ္ျပဳပစၥည္း)။ ဓာတ္တစ္မ်ိဳးမ်ိဳး၏ ဓာတ္ေပါင္း အမည္။
-length	adj\n(forming compound adjs) … ရွည္လ်ားေသာ။ …အထိရွည္ေသာ။
-lessly	adv\nကင္းမဲ့လ်က္။
-limbed	n\nေျခဆံ လက္ဆံ (ရွည္ေသာ၊ ေပ်ာ႔ေပ်ာင္းေသာစသည္)။
